name,address
Diamond Lake Lutheran Church,"5760 Portland AveMinneapolis, MN 55417"
St Timothy's Lutheran Church,"825 51st Ave NEMinneapolis, MN 55421"
Richfield Evangelical Lutheran Church,"8 W 60th StMinneapolis, MN 55419"
Timothy Lutheran Church,"7814 Minnetonka BlvdMinneapolis, MN 55426"
Edina Community Lutheran Church Elca,"4113 W 54th StMinneapolis, MN 55424"
Prince-Peace Lutheran Church,"8115 Highway 7Minneapolis, MN 55426"
Mount Calvary Lutheran Church,"6541 16th Ave SMinneapolis, MN 55423"
St. Philip's Lutheran Church ELCA,"6180 Highway 65 NEMinneapolis, MN 55432"
Oak Grove Lutheran Church,"7045 Lyndale Ave SMinneapolis, MN 55423"
Holy Trinity Lutheran Church,"4240 Gettysburg Ave NMinneapolis, MN 55428"
Apostolic Lutheran Church,"11015 Old County Road 15Minneapolis, MN 55441"
House-Prayer Lutheran Church,"7625 Chicago AveMinneapolis, MN 55423"
Woodlake Lutheran Church,"7525 Oliver Ave SMinneapolis, MN 55423"
Discover Church Brooklyn Park,"1400 81st Ave NMinneapolis, MN 55444"
Calvary Lutheran Church,"6817 Antrim RdMinneapolis, MN 55439"
Cross View Lutheran Church,"6645 Mccauley Trl WMinneapolis, MN 55439"
Prince Of Peace Deaf Lutheran Church,"7700 Monroe St NEMinneapolis, MN 55432"
Emmaus Free Lutheran Church,"8443 2nd Ave SMinneapolis, MN 55420"
Grace Lutheran Church ELCA,"8700 Old Cedar Ave SMinneapolis, MN 55425"
Beautiful Savior Lutheran Church,"5005 Northwest BlvdMinneapolis, MN 55442"
Peace Lutheran Church,"8600 E Bush Lake RdMinneapolis, MN 55438"
Berean Baptist Church,"8825 W Broadway AveMinneapolis, MN 55445"
St Barnabas Lutheran Church,"15600 Old Rockford RdMinneapolis, MN 55446"
Crosspoint Church,"9801 France Ave SMinneapolis, MN 55431"
Hillside Church,"4300 W 98th StMinneapolis, MN 55437"
Apostolic Lutheran Church,"9401 Bataan St NEMinneapolis, MN 55449"
Cross-Christ Lutheran School,"9931 Foley Blvd NWMinneapolis, MN 55433"
King Of Glory Lutheran Church,"10103 University Ave NEMinneapolis, MN 55434"
Mount Hope Lutheran Church Lcms,"3601 W Old Shakopee RdMinneapolis, MN 55431"
Peace Lutheran Church of Plymouth ELCA,"3695 County Road 101 NMinneapolis, MN 55446"
Transfiguration Lutheran Church,"11000 France Ave SMinneapolis, MN 55431"
Faith Lutheran Church,"11115 Hanson Blvd NWMinneapolis, MN 55433"
Redeemer Lutheran Coon Rapids,"2135 Northdale Blvd NWMinneapolis, MN 55433"
Assemblies Of God Churches,"1315 Portland AveMinneapolis, MN 55404"
Church Of Minneapolis,"316 4th Ave SEMinneapolis, MN 55414"
Plymouth Congregational Church,"1900 Nicollet AveMinneapolis, MN 55403"
Mercy Vineyard Church,"1121 Jackson St NE Ste 111Minneapolis, MN 55413"
High Praise Ministries,"1200 N 7th StMinneapolis, MN 55411"
The Church In Minneapolis,"2404 Hennepin AveMinneapolis, MN 55405"
Tawfiq Islamic Center,"2900 Lyndale Ave NMinneapolis, MN 55411"
All Nations Seventh-Day Adventist Church,"2315 24th Ave NMinneapolis, MN 55411"
Jacobs Well Mpls,"3751 17th Ave SMinneapolis, MN 55407"
Fountain of Life Gospel Church,"3952 10th Ave SMinneapolis, MN 55407"
Unity Christ Church,"4000 Golden Valley RdMinneapolis, MN 55422"
Japanese Fellowship Church,"4217 Bloomington AveMinneapolis, MN 55407"
Evangelist Crusaders Inc,"4307 4th Ave SMinneapolis, MN 55409"
Ethiopian Orthodox Tewahedo,"4401 Minnehaha AveMinneapolis, MN 55406"
Minneapolis Friends Meeting,"4401 York Ave SMinneapolis, MN 55410"
True Apostolic Assembly,"3520 W 43rd StMinneapolis, MN 55410"
Side by Side Youth Ministry,"755 Florida Ave S Ste D5Minneapolis, MN 55426"
First Evangelical Free Church,"5150 Chicago AveMinneapolis, MN 55417"
Speak The Word Church,"515 Jersey Ave SMinneapolis, MN 55426"
Christ Covenant Chapel,"5452 Dupont Ave NMinneapolis, MN 55430"
City Church,"1501 W 54th StMinneapolis, MN 55419"
Ebenezer Community Church,"6601 68th Ave NMinneapolis, MN 55428"
Grace Evangelical Free Church,"755 73rd Ave NEMinneapolis, MN 55432"
Redeemer Covenant Church,"7801 Brooklyn BlvdMinneapolis, MN 55445"
United Central Sda Church,"7831 Brooklyn BlvdMinneapolis, MN 55445"
Our Savior's Church,"8209 Zane Ave NMinneapolis, MN 55443"
The Gate Church,"9201 E Bloomington FwyMinneapolis, MN 55420"
Evangelical Church Missions,"9421 W River RdMinneapolis, MN 55444"
Church Of Jesus Christ Of Latter Day Saints,"330 Vicksburg Ln NMinneapolis, MN 55447"
Riverside Reformed Church,"10201 Nicollet Ave SMinneapolis, MN 55420"
Jesus Is Lord Church,"2829 W 102nd StMinneapolis, MN 55431"
Wayzata Evangelical Free Church,"705 County Road 101 NMinneapolis, MN 55447"
