name,address
Islamic Soc Of Greater Phila,"7252 Roosevelt BlvdPhiladelphia, PA 19149"
Philadelphia Ghana Seventh Day Adventist Church,"7501 Frankford AvePhiladelphia, PA 19136"
Shaare Shamayim Synagogues,"9768 Verree RdPhiladelphia, PA 19115"
Consolation Baptist Church,"2500 Wharton StPhiladelphia, PA 19146"
Saint Stephen's Baptist Church,"1627 S 21st StPhiladelphia, PA 19145"
Saint Jude Baptist Church,"632 N 38th StPhiladelphia, PA 19104"
Golden Star Baptist Church,"1635 N 27th StPhiladelphia, PA 19121"
Faith Chapel Baptist Church,"4718 Woodland AvePhiladelphia, PA 19143"
Children's Hosp Of Phila,"111 N 49th StPhiladelphia, PA 19139"
East Bethel Baptist Church,"1333 W Erie AvePhiladelphia, PA 19140"
Memorial Tabernacle Baptist Church,"2249 W Hunting Park AvePhiladelphia, PA 19140"
Church Of Christian Compassion,"6121 Cedar AvePhiladelphia, PA 19143"
Olney Baptist Church,"239 W Chew AvePhiladelphia, PA 19120"
St Lukes Memorial Church,"1946 Welsh RdPhiladelphia, PA 19115"
Living Word Community Church,"142 N 17th StPhiladelphia, PA 19103"
First African Presbyterian Church,"4159 W Girard AvePhiladelphia, PA 19104"
Our Lady Of Hope Church,"5200 N Broad StPhiladelphia, PA 19141"
Roxborough Presbyterian Church,"8230 Ridge AvePhiladelphia, PA 19128"
St Dominic's School,"8504 Frankford AvePhiladelphia, PA 19136"
New Creature Baptist Church,"1313 Sellers StPhiladelphia, PA 19124"
Christ Fellowship Christian Church,"1639 Harrison StPhiladelphia, PA 19124"
International Bethel Church,"1619 S Broad StPhiladelphia, PA 19148"
Pentecostal Deliverance Tabernacle,"2426 Ridge AvePhiladelphia, PA 19121"
Pentecostal Church of God I.M. Water of Life,"300 Snyder AvePhiladelphia, PA 19148"
Iglesia De Dios Pentecostal,"3101 N 2nd StPhiladelphia, PA 19133"
St George Parish,"2700 E Venango StPhiladelphia, PA 19134"
Children Of The Light Mission,"734 N 63rd StPhiladelphia, PA 19151"
Triumphant Living Ministries,"7970 State RdPhiladelphia, PA 19136"
Fellowship Greater Jehovah Baptist Church,"3314 Germantown AvePhiladelphia, PA 19140"
Freedom Christian Bible Fellowship,"6100 W Columbia AvePhiladelphia, PA 19151"
Saint Mark's Church,"1625 Locust StPhiladelphia, PA 19103"
Saint James AME Zion Church,"2001 Reed StPhiladelphia, PA 19146"
New Generation Church,"1423 N Bouvier StPhiladelphia, PA 19121"
Episcopal Diocese-Pennsylania,"3717 Chestnut St Fl 3Philadelphia, PA 19104"
Tyree AME Church,"3800 Hamilton StPhiladelphia, PA 19104"
Morris Brown AME Church,"1756 N 25th StPhiladelphia, PA 19121"
Grace Church & The Incarnation,"2645 E Venango StPhiladelphia, PA 19134"
African American Interdenominational Ministry,"701 S 19th StPhiladelphia, PA 19146"
Living Water Christian Fellowship,"2949 W Clearfield StPhiladelphia, PA 19132"
Grace Christian Fellowship,"6208 Grays AvePhiladelphia, PA 19142"
New Genesis Christian Church,"6709 Woodland AvePhiladelphia, PA 19142"
Chcc,"400 N Simpson StPhiladelphia, PA 19151"
Eagle's Nest Christian Academy,"501 W King StPhiladelphia, PA 19144"
Japanese Christian Church of Philadelphia,"6301 Drexel RdPhiladelphia, PA 19151"
New Life Presbyterian Church,"425 E Roosevelt BlvdPhiladelphia, PA 19120"
New Beginnings Christian Church,"5223 Belfield AvePhiladelphia, PA 19144"
Courage Christian Center,"7584 Haverford AvePhiladelphia, PA 19151"
Mt Zion Baker Fbh Church,"100 Dupont StPhiladelphia, PA 19127"
