text,address,place,lon,lat
Capitol City Baptist Church,"5442 Sunbury Rd Columbus, OH 43230",Columbus,-82.9048133,40.0704983
Highlands Presbyterian Church,"6909 Smoky Row Rd Columbus, OH 43235",Columbus,-83.0656261,40.1074899
First Pentecostal Gospel,"421 Dakota Ave Columbus, OH 43223",Columbus,-83.02683809999999,39.9503511
New Journey Christian Mnstrs,"2450 Performance Way Columbus, OH 43207",Columbus,-82.9346564,39.9189203
Christ United Methodist Church,"1480 Zettler Rd Columbus, OH 43227",Columbus,-82.9104018,39.9412323
Congregation Ahavas Sholom,"2568 E Broad St Columbus, OH 43209",Columbus,-82.932092,39.9704089
The Global Bible Way Church,"218 McDowell St Columbus, OH 43215",Columbus,-83.0121554,39.9562213
Christ Bible Church,"86 S Ohio Ave Columbus, OH 43205",Columbus,-82.9701918,39.9638424
Lord Jesus Christ Church,"634 Gibbard Ave Columbus, OH 43201",Columbus,-82.98757440000001,39.9844548
Chicago Av Christian Church,"33 Chicago Ave Columbus, OH 43222",Columbus,-83.0347531,39.9588802
St Christopher Church,"1420 Grandview Ave Columbus, OH 43212",Columbus,-83.0439829,39.9868991
Joy Christian Church,"2999 E Dublin Granville Rd Columbus, OH 43231",Columbus,-82.9370051,40.0812266
Second Baptist Church,"186 N 17th St Columbus, OH 43203",Columbus,-82.9767256,39.9690253
Greater Vision Missionary Baptist Church,"100 N 20th St Columbus, OH 43203",Columbus,-82.97329959999999,39.967544
Hebron Baptist Church,"189 N 20th St Columbus, OH 43203",Columbus,-82.9737405,39.9694668
Refuge Baptist Church,"400 N 20th St Columbus, OH 43203",Columbus,-82.97275049999999,39.9737476
Zion Hill Baptist Church,"527 Wilson Ave Columbus, OH 43205",Columbus,-82.9674199,39.9550506
Union Grove Baptist Church,"266 N Champion Ave Columbus, OH 43203",Columbus,-82.965451,39.9732551
Mt Ivory Baptist Church,"1276 E Mound St Columbus, OH 43205",Columbus,-82.96496280000001,39.9565183
New Generation Church,"1173 Essex Ave Columbus, OH 43201",Columbus,-82.9879125,39.9883859
Calvary Tremont Baptist Church,"1255 Leonard Ave Columbus, OH 43203",Columbus,-82.9696654,39.9781713
Neil Avenue Baptist,"1385 Neil Ave Columbus, OH 43201",Columbus,-83.01392969999999,39.9895814
Southside Baptist Church,"1621 S High St Columbus, OH 43207",Columbus,-82.9959488,39.928947
First Mount Carmel,"470 E Welch Ave Columbus, OH 43207",Columbus,-82.98304189999999,39.9304396
Rock Of Faith Baptist Church,"479 Seymour Ave Columbus, OH 43205",Columbus,-82.9547978,39.9566989
Good Samaritan Baptist Church,"1680 E Fulton St Columbus, OH 43205",Columbus,-82.9539537,39.9551124
Mt Moriah Bapt Church,"1759 E Main St Columbus, OH 43205",Columbus,-82.95190199999999,39.95711
